objeto;data_evento;evento;cliente;trecho;evento_trecho;unid_origem;unid_destino;dr_origem;dr_destino;gestao_prealerta;automatico;manual;total;macroprocesso;postado;ultimo_evento_extraviado;ultimo_evento_em_transito;ultimo_evento;ultimo_evento_data;evento_finalizador;tipo;analise_sro;unid_origem_apelido;unid_destino_apelido;trecho_real;se_postagem;unidade_postagem;data_postagem;familia;ultimo_evento_sinistro
OL438059338BR;2020-11-30;OBJETO EM TRÂNSITO PARA A UNIDADE.;B2W COMPANHIA DIGITAL;CTE CAJAMAR (SPM) - CEE TAGUATINGA;Objeto expedido;CTE CAJAMAR;CEE TAGUATINGA;SPM;BSB;Gestao Manual;0;1;1;trat-dist;sim;nao;nao;Solicitação de suspensão de entrega recebida;2020-12-17;nao;transito;A ser refugado na DR de Origem;CTE CAJAMAR;CEE TAGUATINGA;Trecho;SPM;AGF PAULO AYRES;2020-11-16;ENCOMENDA PAC;nao
OL438251327BR;2020-12-02;OBJETO EM TRÂNSITO PARA A UNIDADE.;E BAZAR COM BR LTDA;CTCE S JOSE RIO PRETO (SPI) - CTE BRASILIA;Objeto expedido;CTCE S JOSE RIO PRETO;CTE BRASILIA;SPI;BSB;Gestao Manual;0;1;1;trat-trat;sim;nao;sim;Objeto em trânsito para a unidade.;2020-12-02;nao;transito;Pendente (OTU);CTCE S JOSE RIO PRETO;CTE BRASILIA;Trecho;SPI;AC PINDORAMA;2020-11-16;ENCOMENDA PAC;sim
OL438927824BR;2020-12-02;OBJETO EM TRÂNSITO PARA A UNIDADE.;ELO7 SERVICOS DE INFORMATICA SA;CTE CAJAMAR (SPM) - CTE BRASILIA;Objeto expedido;CTE CAJAMAR;CTE BRASILIA;SPM;BSB;Gestao Manual;0;1;1;trat-trat;sim;nao;nao;Solicitação de suspensão de entrega recebida;2020-12-18;nao;transito;A ser refugado na DR de Origem;CTE CAJAMAR;CTE BRASILIA;Trecho;SPM;AGF VILA GUARANI;2020-11-16;ENCOMENDA PAC;nao
OL439093865BR;2020-12-02;OBJETO EM TRÂNSITO PARA A UNIDADE.;E BAZAR COM BR LTDA;CTCE S JOSE RIO PRETO (SPI) - CTE BRASILIA;Objeto expedido;CTCE S JOSE RIO PRETO;CTE BRASILIA;SPI;BSB;Gestao Manual;0;1;1;trat-trat;sim;nao;nao;Solicitação de suspensão de entrega recebida;2020-12-21;nao;transito;Evento posterior ao OTU;CTCE S JOSE RIO PRETO;CTE BRASILIA;Trecho;SPI;AC SANTA FE DO SUL;2020-11-16;ENCOMENDA PAC;nao
OL439846203BR;2020-11-30;OBJETO EM TRÂNSITO PARA A UNIDADE.;SHPS TECNOLOGIA E SERVICOS LTDA;CTE CAJAMAR (SPM) - CEE TAGUATINGA;Objeto expedido;CTE CAJAMAR;CEE TAGUATINGA;SPM;BSB;Gestao Manual;0;1;1;trat-dist;nao;sim;nao;Objeto extraviado;2020-12-17;nao;transito;Extraviado;CTE CAJAMAR;CEE TAGUATINGA;Trecho;N/C;N/C;;ENCOMENDA PAC;sim
OL440115325BR;2020-12-02;OBJETO EM TRÂNSITO PARA A UNIDADE.;E BAZAR COM BR LTDA;CTE CAJAMAR (SPM) - CTE BRASILIA;Objeto expedido;CTE CAJAMAR;CTE BRASILIA;SPM;BSB;Gestao Manual;0;1;1;trat-trat;sim;nao;nao;Solicitação de suspensão de entrega recebida;2020-12-22;nao;transito;Evento posterior ao OTU;CTE CAJAMAR;CTE BRASILIA;Trecho;SPM;AC VILA ZELINA;2020-11-16;ENCOMENDA PAC;nao
OL440124225BR;2020-12-02;OBJETO EM TRÂNSITO PARA A UNIDADE.;E BAZAR COM BR LTDA;CTCE S JOSE RIO PRETO (SPI) - CTE BRASILIA;Objeto expedido;CTCE S JOSE RIO PRETO;CTE BRASILIA;SPI;BSB;Gestao Manual;0;1;1;trat-trat;sim;nao;nao;Solicitação de suspensão de entrega recebida;2020-12-23;nao;transito;Evento posterior ao OTU;CTCE S JOSE RIO PRETO;CTE BRASILIA;Trecho;SPI;AC SUD MENUCCI;2020-11-16;ENCOMENDA PAC;nao
OL441126284BR;2020-12-02;OBJETO EM TRÂNSITO PARA A UNIDADE.;E BAZAR COM BR LTDA;CTE CAJAMAR (SPM) - CTE BRASILIA;Objeto expedido;CTE CAJAMAR;CTE BRASILIA;SPM;BSB;Gestao Manual;0;1;1;trat-trat;nao;nao;nao;Solicitação de suspensão de entrega recebida;2020-12-20;nao;transito;Evento posterior ao OTU;CTE CAJAMAR;CTE BRASILIA;Trecho;N/C;N/C;;ENCOMENDA PAC;nao
OL441312882BR;2020-11-30;OBJETO EM TRÂNSITO PARA A UNIDADE.;VITA BE COSMETICOS EIRELI;CTE CAJAMAR (SPM) - CEE TAGUATINGA;Objeto expedido;CTE CAJAMAR;CEE TAGUATINGA;SPM;BSB;Gestao Manual;0;1;1;trat-dist;sim;nao;sim;Objeto em trânsito para a unidade.;2020-11-30;nao;transito;Pendente (OTU);CTE CAJAMAR;CEE TAGUATINGA;Trecho;ES;AGF LIMOEIRO;2020-11-16;ENCOMENDA PAC;sim
OL444314984BR;2020-12-02;OBJETO EM TRÂNSITO PARA A UNIDADE.;E BAZAR COM BR LTDA;CTCE S JOSE RIO PRETO (SPI) - CTE BRASILIA;Objeto expedido;CTCE S JOSE RIO PRETO;CTE BRASILIA;SPI;BSB;Gestao Manual;0;1;1;trat-trat;nao;nao;sim;Objeto em trânsito para a unidade.;2020-12-02;nao;transito;Pendente (OTU);CTCE S JOSE RIO PRETO;CTE BRASILIA;Trecho;N/C;N/C;;ENCOMENDA PAC;sim
OL445464455BR;2020-12-02;OBJETO EM TRÂNSITO PARA A UNIDADE.;E BAZAR COM BR LTDA;CTE CAJAMAR (SPM) - CTE BRASILIA;Objeto expedido;CTE CAJAMAR;CTE BRASILIA;SPM;BSB;Gestao Manual;0;1;1;trat-trat;sim;nao;nao;Solicitação de suspensão de entrega recebida;2020-12-20;nao;transito;Evento posterior ao OTU;CTE CAJAMAR;CTE BRASILIA;Trecho;SPM;AGF VILA GUARANI;2020-11-16;ENCOMENDA PAC;nao
OL445685845BR;2020-12-02;OBJETO EM TRÂNSITO PARA A UNIDADE.;SHPS TECNOLOGIA E SERVICOS LTDA;CTCE S JOSE RIO PRETO (SPI) - CTE BRASILIA;Objeto expedido;CTCE S JOSE RIO PRETO;CTE BRASILIA;SPI;BSB;Gestao Manual;0;1;1;trat-trat;sim;nao;sim;Objeto em trânsito para a unidade.;2020-12-02;nao;transito;Pendente (OTU);CTCE S JOSE RIO PRETO;CTE BRASILIA;Trecho;SPI;AC MIRASSOL;2020-11-16;ENCOMENDA PAC;sim
OL446707516BR;2020-11-30;OBJETO EM TRÂNSITO PARA A UNIDADE.;E BAZAR COM BR LTDA;CTE CAJAMAR (SPM) - CEE TAGUATINGA;Objeto expedido;CTE CAJAMAR;CEE TAGUATINGA;SPM;BSB;Gestao Manual;0;1;1;trat-dist;sim;sim;nao;Objeto extraviado;2021-01-07;nao;transito;Extraviado;CTE CAJAMAR;CEE TAGUATINGA;Trecho;SPM;AC SILVA TELES;2020-11-16;ENCOMENDA PAC;sim
OL448135453BR;2020-12-01;OBJETO EM TRÂNSITO PARA A UNIDADE.;ENJOEI COM BR ATIVIDADES DE INTERNET LTD;CTE CAJAMAR (SPM) - CEE BRASILIA NORTE;Objeto expedido;CTE CAJAMAR;CEE BRASILIA NORTE;SPM;BSB;Gestao Manual;0;1;1;trat-dist;sim;nao;nao;Solicitação de suspensão de entrega recebida;2020-12-17;nao;transito;A ser refugado na DR de Origem;CTE CAJAMAR;CEE BRASILIA NORTE;Trecho;SPM;AC MARQUES DE ITU;2020-11-16;ENCOMENDA PAC;nao
OL449366776BR;2020-12-15;OBJETO EM TRÂNSITO PARA A UNIDADE.;SHPS TECNOLOGIA E SERVICOS LTDA;CTE CAJAMAR (SPM) - CDD SAO SEBASTIAO;Objeto expedido;CTE CAJAMAR;CDD SAO SEBASTIAO;SPM;BSB;Gestao Automatica;1;0;1;trat-dist;nao;nao;sim;Objeto em trânsito para a unidade.;2020-12-15;nao;transito;Pendente (OTU);CTE CAJAMAR;CDD SAO SEBASTIAO;Trecho;N/C;N/C;;ENCOMENDA PAC;sim
OL453377280BR;2020-12-01;OBJETO EM TRÂNSITO PARA A UNIDADE.;GFG COMERCIO DIGITAL LTDA;CTE CAJAMAR (SPM) - CEE BRASILIA NORTE;Objeto expedido;CTE CAJAMAR;CEE BRASILIA NORTE;SPM;BSB;Gestao Manual;0;1;1;trat-dist;sim;nao;nao;Solicitação de suspensão de entrega recebida;2020-12-17;nao;transito;A ser refugado na DR de Origem;CTE CAJAMAR;CEE BRASILIA NORTE;Trecho;SPI;AGF NOSSA SENHORA DE FATIMA;2020-11-16;ENCOMENDA PAC;nao
OL453465965BR;2020-11-30;OBJETO EM TRÂNSITO PARA A UNIDADE.;E BAZAR COM BR LTDA;CTE CAJAMAR (SPM) - CEE TAGUATINGA;Objeto expedido;CTE CAJAMAR;CEE TAGUATINGA;SPM;BSB;Gestao Manual;0;1;1;trat-dist;nao;sim;nao;Objeto extraviado;2021-01-07;nao;transito;Extraviado;CTE CAJAMAR;CEE TAGUATINGA;Trecho;N/C;N/C;;ENCOMENDA PAC;sim
OL455648025BR;2020-12-02;OBJETO EM TRÂNSITO PARA A UNIDADE.;GFG COMERCIO DIGITAL LTDA;CTCE S JOSE RIO PRETO (SPI) - CTE BRASILIA;Objeto expedido;CTCE S JOSE RIO PRETO;CTE BRASILIA;SPI;BSB;Gestao Manual;0;1;1;trat-trat;sim;nao;nao;Solicitação de suspensão de entrega recebida;2020-12-17;nao;transito;A ser refugado na DR de Origem;CTCE S JOSE RIO PRETO;CTE BRASILIA;Trecho;SPI;AC VOTUPORANGA;2020-11-16;ENCOMENDA PAC;nao
OL456590560BR;2020-12-01;OBJETO EM TRÂNSITO PARA A UNIDADE.;C. E. MACHADO DE PAIVA;CTE CAJAMAR (SPM) - CEE BRASILIA NORTE;Objeto expedido;CTE CAJAMAR;CEE BRASILIA NORTE;SPM;BSB;Gestao Manual;0;1;1;trat-dist;sim;sim;nao;Objeto extraviado;2020-12-16;nao;transito;Extraviado;CTE CAJAMAR;CEE BRASILIA NORTE;Trecho;SPI;AGF BRESSANI;2020-11-16;ENCOMENDA PAC;sim
OL457844858BR;2020-12-02;OBJETO EM TRÂNSITO PARA A UNIDADE.;SHPS TECNOLOGIA E SERVICOS LTDA;CTCE BELO HORIZONTE (MG) - CEE TAGUATINGA;Objeto expedido;CTCE BELO HORIZONTE;CEE TAGUATINGA;MG;BSB;Gestao Manual;0;1;1;trat-dist;nao;nao;sim;Objeto em trânsito para a unidade.;2020-12-02;nao;transito;Pendente (OTU);CTCE BELO HORIZONTE;CEE TAGUATINGA;Trecho;N/C;N/C;;ENCOMENDA PAC;sim
OL458842915BR;2020-12-04;OBJETO EM TRÂNSITO PARA A UNIDADE.;E BAZAR COM BR LTDA;CTE BRASILIA (BSB) - CEE TAGUATINGA;Objeto expedido;CTE BRASILIA;CEE TAGUATINGA;BSB;BSB;Gestao Manual;0;1;1;trat-dist;nao;sim;nao;Objeto extraviado;2020-12-17;nao;transito;Extraviado;CTE BRASILIA;CEE TAGUATINGA;Trecho;N/C;N/C;;ENCOMENDA PAC;sim
OL458963539BR;2020-12-08;OBJETO EXTRAVIADO;J E M COMERCIO VAREJISTA DE ROUPAS LTDA;CDD NUCLEO BANDEIRANTE (BSB) - CDD NUCLEO BANDEIRANTE;Saiu para entrega ao destinatário;CDD NUCLEO BANDEIRANTE;CDD NUCLEO BANDEIRANTE;BSB;BSB;Gestao Manual;0;1;1;dist-dist;nao;sim;nao;Objeto extraviado;2020-12-08;nao;extraviado;Extraviado;CDD NUCLEO BANDEIRANTE;CDD NUCLEO BANDEIRANTE;Responsabilizada;N/C;N/C;;ENCOMENDA PAC;sim
OL459778326BR;2020-12-08;OBJETO EM TRÂNSITO PARA A UNIDADE.;E BAZAR COM BR LTDA;CTE CAJAMAR (SPM) - CDD NUCLEO BANDEIRANTE;Objeto expedido;CTE CAJAMAR;CDD NUCLEO BANDEIRANTE;SPM;BSB;Gestao Manual;0;1;1;trat-dist;sim;nao;nao;Solicitação de suspensão de entrega recebida;2020-12-20;nao;transito;Evento posterior ao OTU;CTE CAJAMAR;CDD NUCLEO BANDEIRANTE;Trecho;SPM;AGF LEAO XIII;2020-11-17;ENCOMENDA PAC;nao
OL460366150BR;2020-12-09;OBJETO EM TRÂNSITO PARA A UNIDADE.;SHPS TECNOLOGIA E SERVICOS LTDA;CTE BRASILIA (BSB) - CDD RECANTO DAS EMAS;Objeto expedido;CTE BRASILIA;CDD RECANTO DAS EMAS;BSB;BSB;Gestao Automatica;1;0;1;trat-dist;sim;nao;sim;Objeto em trânsito para a unidade.;2020-12-09;nao;transito;Pendente (OTU);CTE BRASILIA;CDD RECANTO DAS EMAS;Trecho;SC;AGF RUA 600;2020-11-17;ENCOMENDA PAC;sim
OL465491622BR;2020-12-04;OBJETO EM TRÂNSITO PARA A UNIDADE.;MELHOR ENVIO LTDA;AC LUZIANIA (GO) - CTE BRASILIA;Objeto expedido;AC LUZIANIA;CTE BRASILIA;GO;BSB;Gestao Manual;0;1;1;cap-trat;nao;nao;nao;Solicitação de suspensão de entrega recebida;2020-12-17;nao;transito;A ser refugado na DR de Origem;AC LUZIANIA;CTE BRASILIA;Trecho;N/C;N/C;;ENCOMENDA PAC;nao
OL466174745BR;2020-12-24;OBJETO EM TRÂNSITO PARA A UNIDADE.;CIA LATINO AMERICANA DE MEDICAMENTOS;CTE CAJAMAR (SPM) - CDD SAO SEBASTIAO;Objeto expedido;CTE CAJAMAR;CDD SAO SEBASTIAO;SPM;BSB;Gestao Automatica;1;0;1;trat-dist;sim;nao;nao;Solicitação de suspensão de entrega recebida;2021-01-08;nao;transito;Aguardando solicitacao de Desbloqueio;CTE CAJAMAR;CDD SAO SEBASTIAO;Trecho;SPM;AGF CHACARA SANTO ANTONIO;2020-11-25;ENCOMENDA PAC;nao
OL466247575BR;2020-12-03;OBJETO EM TRÂNSITO PARA A UNIDADE.;E BAZAR COM BR LTDA;CTE BRASILIA (BSB) - CEE BRASILIA SUL;Objeto expedido;CTE BRASILIA;CEE BRASILIA SUL;BSB;BSB;Gestao Manual;0;1;1;trat-dist;nao;nao;sim;Objeto em trânsito para a unidade.;2020-12-03;nao;transito;Pendente (OTU);CTE BRASILIA;CEE BRASILIA SUL;Trecho;N/C;N/C;;ENCOMENDA PAC;sim
OL468315882BR;2020-12-07;OBJETO EM TRÂNSITO PARA A UNIDADE.;E BAZAR COM BR LTDA;CEE BRASILIA SUL (BSB) - CDD BRASILIA SIA;Objeto expedido;CEE BRASILIA SUL;CDD BRASILIA SIA;BSB;BSB;Gestao Manual;0;1;1;dist-dist;nao;nao;nao;Solicitação de suspensão de entrega recebida;2021-01-11;nao;transito;Evento posterior ao OTU;CEE BRASILIA SUL;CDD BRASILIA SIA;Trecho;N/C;N/C;;ENCOMENDA PAC;nao
OL470664881BR;2020-12-04;OBJETO EM TRÂNSITO PARA A UNIDADE.;SHPS TECNOLOGIA E SERVICOS LTDA;AGF CEILANDIA NORTE (BSB) - CTE BRASILIA;Objeto expedido;AGF CEILANDIA NORTE;CTE BRASILIA;BSB;BSB;Gestao Manual;0;1;1;cap-trat;nao;nao;sim;Objeto em trânsito para a unidade.;2020-12-04;nao;transito;Pendente (OTU);AGF CEILANDIA NORTE;CTE BRASILIA;Trecho;N/C;N/C;;ENCOMENDA PAC;sim
OL471701909BR;2020-12-15;OBJETO EM TRÂNSITO PARA A UNIDADE.;SHPS TECNOLOGIA E SERVICOS LTDA;CTE BENFICA (RJ) - CTE BRASILIA;Objeto expedido;CTE BENFICA;CTE BRASILIA;RJ;BSB;Gestao Manual;0;1;1;trat-trat;nao;nao;sim;Objeto em trânsito para a unidade.;2020-12-15;nao;transito;Pendente (OTU);CTE BENFICA;CTE BRASILIA;Trecho;N/C;N/C;;ENCOMENDA PAC;sim
OL473689295BR;2020-12-09;OBJETO EM TRÂNSITO PARA A UNIDADE.;GFG COMERCIO DIGITAL LTDA;CTE BRASILIA (BSB) - CDD TAGUATINGA NORTE;Objeto expedido;CTE BRASILIA;CDD TAGUATINGA NORTE;BSB;BSB;Gestao Automatica;1;0;1;trat-dist;sim;nao;nao;Solicitação de suspensão de entrega recebida;2020-12-20;nao;transito;A ser refugado na DR de Origem;CTE BRASILIA;CDD TAGUATINGA NORTE;Trecho;SPI;AGF TRINTA E DOIS;2020-11-17;ENCOMENDA PAC;nao
OL478134774BR;2020-12-09;OBJETO EM TRÂNSITO PARA A UNIDADE.;E BAZAR COM BR LTDA;CTE BRASILIA (BSB) - CDD BRASILIA SIA;Objeto expedido;CTE BRASILIA;CDD BRASILIA SIA;BSB;BSB;Gestao Manual;0;1;1;trat-dist;sim;nao;nao;Solicitação de suspensão de entrega recebida;2020-12-23;nao;transito;Evento posterior ao OTU;CTE BRASILIA;CDD BRASILIA SIA;Trecho;SPI;AGF NOSSA SENHORA DA PAZ;2020-11-18;ENCOMENDA PAC;nao
OL486447788BR;2021-01-06;OBJETO EM TRÂNSITO PARA A UNIDADE.;E BAZAR COM BR LTDA;CDD RECANTO DAS EMAS (BSB) - CTE BRASILIA;Objeto expedido;CDD RECANTO DAS EMAS;CTE BRASILIA;BSB;BSB;Gestao Manual;0;1;1;dist-trat;sim;nao;sim;Objeto em trânsito para a unidade.;2021-01-06;nao;transito;Pendente (OTU);CDD RECANTO DAS EMAS;CTE BRASILIA;Trecho;BSB;AC RECANTO DAS EMAS;2020-11-19;ENCOMENDA PAC;sim
OL487367998BR;2020-12-04;OBJETO EM TRÂNSITO PARA A UNIDADE.;GALL MODA INTIMA VIRTUAL LTDA;CDD RECANTO DAS EMAS (BSB) - CDD RECANTO DAS EMAS;Passagem interna;CDD RECANTO DAS EMAS;CDD RECANTO DAS EMAS;BSB;BSB;Gestao Automatica;1;0;1;dist-dist;nao;nao;nao;Solicitação de suspensão de entrega recebida;2020-12-17;nao;transito;A ser refugado na DR de Origem;CDD RECANTO DAS EMAS;CDD RECANTO DAS EMAS;Responsabilizada;N/C;N/C;;ENCOMENDA PAC;nao
OL488968923BR;2020-12-05;OBJETO EM TRÂNSITO PARA A UNIDADE.;E BAZAR COM BR LTDA;CTE CAJAMAR (SPM) - CEE TAGUATINGA;Objeto expedido;CTE CAJAMAR;CEE TAGUATINGA;SPM;BSB;Gestao Manual;0;1;1;trat-dist;sim;nao;nao;Solicitação de suspensão de entrega recebida;2020-12-23;nao;transito;Evento posterior ao OTU;CTE CAJAMAR;CEE TAGUATINGA;Trecho;ES;AGF AVENIDA VITORIA;2020-11-19;ENCOMENDA PAC;nao
OL490158969BR;2020-12-17;OBJETO EM TRÂNSITO PARA A UNIDADE.;GFG COMERCIO DIGITAL LTDA;CTCE INDAIATUBA (SPI) - CTE BRASILIA;Objeto expedido;CTCE INDAIATUBA;CTE BRASILIA;SPI;BSB;Gestao Manual;0;1;1;trat-trat;sim;nao;nao;Objeto expedido;2021-01-04;nao;transito;Evento posterior ao OTU;CTCE INDAIATUBA;CTE BRASILIA;Trecho;SPI;AGF OZANAN;2020-12-01;ENCOMENDA PAC;nao
OL491482195BR;2020-12-03;OBJETO EM TRÂNSITO PARA A UNIDADE.;E BAZAR COM BR LTDA;CTCE BELO HORIZONTE (MG) - CEE TAGUATINGA;Objeto expedido;CTCE BELO HORIZONTE;CEE TAGUATINGA;MG;BSB;Gestao Manual;0;1;1;trat-dist;sim;nao;sim;Objeto em trânsito para a unidade.;2020-12-03;nao;transito;Pendente (OTU);CTCE BELO HORIZONTE;CEE TAGUATINGA;Trecho;MG;AGF SEBASTIAO VIEIRA DA MOTA;2020-11-19;ENCOMENDA PAC;sim
OL491955125BR;2021-01-08;OBJETO EM TRÂNSITO PARA A UNIDADE.;E BAZAR COM BR LTDA;CTE CAJAMAR (SPM) - CTE BRASILIA;Objeto expedido;CTE CAJAMAR;CTE BRASILIA;SPM;BSB;Gestao Manual;0;1;1;trat-trat;sim;nao;sim;Objeto em trânsito para a unidade.;2021-01-08;nao;transito;Pendente (OTU);CTE CAJAMAR;CTE BRASILIA;Trecho;BSB;AC SAO SEBASTIAO;2020-11-19;ENCOMENDA PAC;sim
OL496399486BR;2020-12-30;OBJETO EM TRÂNSITO PARA A UNIDADE.;ROCKET LOG GESTAO DE LOGISTICA LTDA;CTE CAJAMAR (SPM) - CTE BRASILIA;Objeto expedido;CTE CAJAMAR;CTE BRASILIA;SPM;BSB;Gestao Manual;0;1;1;trat-trat;sim;nao;sim;Objeto em trânsito para a unidade.;2020-12-30;nao;transito;Pendente (OTU);CTE CAJAMAR;CTE BRASILIA;Trecho;SPI;AGF VILA LACERDA;2020-12-11;ENCOMENDA PAC;sim
OL497076345BR;2020-12-04;OBJETO EXTRAVIADO;B2W COMPANHIA DIGITAL;CTE BRASILIA (BSB) - CDD BRASILIA SIA;Objeto expedido;CTE BRASILIA;CDD BRASILIA SIA;BSB;BSB;Gestao Manual;0;1;1;trat-dist;sim;nao;nao;Solicitação de suspensão de entrega recebida;2020-12-04;nao;extraviado;A ser refugado na DR de Origem;CTE BRASILIA;CDD BRASILIA SIA;Trecho;SPM;AGF ALTO DE SANTANA;2020-11-20;ENCOMENDA PAC;nao
OL499550625BR;2020-12-09;OBJETO EM TRÂNSITO PARA A UNIDADE.;FULL NINE DIGITAL CONSULTORIA LTDA;CTE BRASILIA (BSB) - CDD BRASILIA SIA;Objeto expedido;CTE BRASILIA;CDD BRASILIA SIA;BSB;BSB;Gestao Manual;0;1;1;trat-dist;sim;sim;nao;Objeto extraviado;2020-12-24;nao;transito;Extraviado;CTE BRASILIA;CDD BRASILIA SIA;Trecho;SPM;AGF CHACARA SANTO ANTONIO;2020-11-20;ENCOMENDA PAC;sim
OL499882389BR;2020-12-09;OBJETO EM TRÂNSITO PARA A UNIDADE.;SHPS TECNOLOGIA E SERVICOS LTDA;CTE CAJAMAR (SPM) - CDD GAMA;Objeto expedido;CTE CAJAMAR;CDD GAMA;SPM;BSB;Gestao Manual;0;1;1;trat-dist;nao;nao;nao;Solicitação de suspensão de entrega recebida;2021-01-08;nao;transito;A ser refugado na DR de Origem;CTE CAJAMAR;CDD GAMA;Trecho;N/C;N/C;;ENCOMENDA PAC;nao
OL500449901BR;2020-12-15;OBJETO EM TRÂNSITO PARA A UNIDADE.;SHPS TECNOLOGIA E SERVICOS LTDA;CTE BRASILIA (BSB) - CDD SAO SEBASTIAO;Objeto expedido;CTE BRASILIA;CDD SAO SEBASTIAO;BSB;BSB;Gestao Automatica;1;0;1;trat-dist;nao;nao;sim;Objeto em trânsito para a unidade.;2020-12-15;nao;transito;Pendente (OTU);CTE BRASILIA;CDD SAO SEBASTIAO;Trecho;N/C;N/C;;ENCOMENDA PAC;sim
OL500518916BR;2020-12-26;OBJETO EM TRÂNSITO PARA A UNIDADE.;YAAAS COM DE VEST E ACESS LTDA;CTE SAUDE (SPM) - CEE TAGUATINGA;Objeto expedido;CTE SAUDE;CEE TAGUATINGA;SPM;BSB;Gestao Manual;0;1;1;trat-dist;sim;nao;nao;Solicitação de suspensão de entrega recebida;2021-01-09;nao;transito;Aguardando solicitacao de Desbloqueio;CTE SAUDE;CEE TAGUATINGA;Trecho;SPM;AGF DO CURSINO;2020-12-11;ENCOMENDA PAC;nao
OL500609705BR;2021-01-07;OBJETO EXTRAVIADO;E BAZAR COM BR LTDA;CTE CAJAMAR (SPM) - CEE TAGUATINGA;Objeto expedido;CTE CAJAMAR;CEE TAGUATINGA;SPM;BSB;Gestao Manual;0;1;1;trat-dist;sim;sim;nao;Objeto extraviado;2021-01-07;nao;extraviado;Extraviado;CTE CAJAMAR;CEE TAGUATINGA;Trecho;SPM;AC TUCURUVI;2020-11-20;ENCOMENDA PAC;sim
OL501376304BR;2021-01-07;OBJETO EXTRAVIADO;E BAZAR COM BR LTDA;CTE BENFICA (RJ) - CEE TAGUATINGA;Objeto expedido;CTE BENFICA;CEE TAGUATINGA;RJ;BSB;Gestao Manual;0;1;1;trat-dist;sim;sim;nao;Objeto extraviado;2021-01-07;nao;extraviado;Extraviado;CTE BENFICA;CEE TAGUATINGA;Trecho;RJ;AGF GOV ROBERTO SILVEIRA;2020-11-23;ENCOMENDA PAC;sim
OL501916004BR;2020-12-05;OBJETO EM TRÂNSITO PARA A UNIDADE.;MEIRE CRIS MO SILVA SJ CAMPOS EIRELI EPP;CTE BRASILIA (BSB) - CEE TAGUATINGA;Objeto expedido;CTE BRASILIA;CEE TAGUATINGA;BSB;BSB;Gestao Manual;0;1;1;trat-dist;sim;nao;sim;Objeto em trânsito para a unidade.;2020-12-05;nao;transito;Pendente (OTU);CTE BRASILIA;CEE TAGUATINGA;Trecho;SPI;AC SAO JOSE DOS CAMPOS;2020-11-19;ENCOMENDA PAC;sim
OL502881346BR;2020-12-14;OBJETO EM TRÂNSITO PARA A UNIDADE.;SHPS TECNOLOGIA E SERVICOS LTDA;CDD TAG LESTE (BSB) - CDD TAG LESTE;Objeto em trânsito para a unidade.;CDD TAG LESTE;CDD TAG LESTE;BSB;BSB;Gestao Automatica;1;0;1;dist-dist;nao;nao;sim;Objeto em trânsito para a unidade.;2020-12-14;nao;transito;Pendente (OTU);CDD TAG LESTE;CDD TAG LESTE;Responsabilizada;N/C;N/C;;ENCOMENDA PAC;sim
OL503572916BR;2020-12-17;OBJETO EM TRÂNSITO PARA A UNIDADE.;SHPS TECNOLOGIA E SERVICOS LTDA;CTCE VILA MARIA (SPM) - CTE BRASILIA;Objeto expedido;CTCE VILA MARIA;CTE BRASILIA;SPM;BSB;Gestao Manual;0;1;1;trat-trat;sim;nao;sim;Objeto em trânsito para a unidade.;2020-12-17;nao;transito;Pendente (OTU);CTCE VILA MARIA;CTE BRASILIA;Trecho;SPM;AGF PRACA SILVIO ROMERO;2020-11-20;ENCOMENDA PAC;sim
OL505873423BR;2020-12-09;OBJETO EXTRAVIADO;MELHOR ENVIO LTDA;CTE BRASILIA (BSB) - CDD BRASILIA SIA;Objeto expedido;CTE BRASILIA;CDD BRASILIA SIA;BSB;BSB;Gestao Manual;0;1;1;trat-dist;sim;nao;nao;Solicitação de suspensão de entrega recebida;2020-12-09;nao;extraviado;A ser refugado na DR de Origem;CTE BRASILIA;CDD BRASILIA SIA;Trecho;SPM;AGF JARDIM MARAJOARA;2020-11-20;ENCOMENDA PAC;nao
OL506165094BR;2020-12-26;OBJETO EXTRAVIADO;OLIST SERVICOS DIGITAIS LTDA;CEE TAGUATINGA (BSB) - CEE TAGUATINGA;Objeto extraviado;CEE TAGUATINGA;CEE TAGUATINGA;BSB;BSB;Gestao Manual;0;1;1;dist-dist;sim;nao;nao;Solicitação de suspensão de entrega recebida;2020-12-26;nao;extraviado;Aguardando solicitacao de Desbloqueio;CEE TAGUATINGA;CEE TAGUATINGA;Responsabilizada;SPI;AGF ELDORADO;2020-11-25;ENCOMENDA PAC;nao
OL511402508BR;2020-12-28;OBJETO EM TRÂNSITO PARA A UNIDADE.;MINAS ARCOS INDUSTRIA LATICINIOS LTDA ME;AGF GUARA II (BSB) - CTE BRASILIA;Objeto expedido;AGF GUARA II;CTE BRASILIA;BSB;BSB;Gestao Manual;0;1;1;cap-trat;sim;nao;sim;Objeto em trânsito para a unidade.;2020-12-28;nao;transito;Pendente (OTU);AGF GUARA II;CTE BRASILIA;Trecho;BSB;AGF GUARA II;2020-12-11;ENCOMENDA PAC;sim
